iter	RMSE
0	5.235083334
1	4.904714743
2	4.592489931
3	4.335478804
4	4.122401415
5	3.916477548
6	3.728354024
7	3.567599797
8	3.421076728
9	3.298731129
10	3.186607764
11	3.089431973
12	3.014560138
13	2.939869006
14	2.879850178
15	2.823935277
16	2.780300047
17	2.735893662
18	2.699360723
19	2.666597609
20	2.639255019
21	2.618652166
22	2.597559604
23	2.577164342
24	2.559587925
25	2.541590154
26	2.527956995
27	2.515290575
28	2.503003862
29	2.490370225
30	2.480050852
31	2.471230646
32	2.460474827
33	2.450882302
34	2.442055386
35	2.433007323
36	2.42550844
37	2.415636815
38	2.40853039
39	2.3994942
40	2.392122393
41	2.385867434
42	2.380203396
43	2.370758506
44	2.36199453
45	2.357244815
46	2.351547737
47	2.344885226
48	2.339379031
49	2.332171284
50	2.32669649
51	2.318714926
52	2.314187688
53	2.308255912
54	2.301757301
55	2.298528981
56	2.289823879
57	2.286159152
58	2.283385041
59	2.278800939
60	2.273144154
61	2.266445396
62	2.261460926
63	2.255127403
64	2.249392308
65	2.242716713
66	2.239207795
67	2.235184553
68	2.230237165
69	2.226989347
70	2.221804302
71	2.215132732
72	2.209546682
73	2.202632756
74	2.196975825
75	2.191850644
76	2.184273708
77	2.179136069
78	2.173115798
79	2.169211704
80	2.165987542
81	2.163165131
82	2.158583295
83	2.155978856
84	2.151626779
85	2.144051785
86	2.141814842
87	2.139537272
88	2.132123833
89	2.125140315
90	2.121876302
91	2.11790182
92	2.112235775
93	2.108488913
94	2.104646592
95	2.100584163
96	2.096042353
97	2.091563607
98	2.088572307
99	2.084162106
