iter	Passed	Remaining
0	21	2090
1	39	1955
2	57	1857
3	74	1789
4	91	1738
5	108	1703
6	125	1672
7	142	1635
8	157	1594
9	173	1563
10	189	1529
11	205	1510
12	222	1491
13	240	1479
14	256	1453
15	272	1429
16	288	1410
17	305	1391
18	321	1370
19	337	1350
20	355	1335
21	373	1324
22	389	1304
23	406	1288
24	422	1268
25	438	1247
26	455	1231
27	471	1212
28	488	1194
29	505	1178
30	521	1161
31	539	1145
32	556	1130
33	573	1113
34	590	1096
35	607	1080
36	624	1063
37	642	1047
38	657	1029
39	675	1012
40	692	996
41	711	981
42	728	966
43	747	951
44	767	937
45	786	922
46	806	908
47	823	892
48	841	875
49	858	858
50	877	842
51	896	827
52	914	810
53	933	794
54	951	778
55	971	763
56	989	746
57	1008	730
58	1031	717
59	1053	702
60	1071	685
61	1089	667
62	1107	650
63	1125	633
64	1143	615
65	1162	598
66	1180	581
67	1197	563
68	1216	546
69	1235	529
70	1252	511
71	1269	493
72	1286	475
73	1303	457
74	1320	440
75	1338	422
76	1355	404
77	1373	387
78	1391	370
79	1409	352
80	1427	334
81	1444	317
82	1462	299
83	1481	282
84	1500	264
85	1517	246
86	1533	229
87	1549	211
88	1567	193
89	1584	176
90	1601	158
91	1617	140
92	1635	123
93	1653	105
94	1670	87
95	1688	70
96	1705	52
97	1723	35
98	1739	17
99	1757	0
