"Round1","Time: 19:15:45","NumberOfPlayers: 12369","TotalBet: 217058.19","TotalWinning: 132006.59","OnCash: 2.5"
"Round2","Time: 19:17:31","NumberOfPlayers: 12553","TotalBet: 224750.88","TotalWinning: 7298.76","OnCash: 1.23"
"Round3","Time: 19:17:49","NumberOfPlayers: 10892","TotalBet: 203106.63","TotalWinning: 3825.73","OnCash: 1.12"
"Round4","Time: 19:18:07","NumberOfPlayers: 9862","TotalBet: 182495.56","TotalWinning: 67343.15","OnCash: 2.37"
"Round5","Time: 19:18:30","NumberOfPlayers: 11344","TotalBet: 209669.43","TotalWinning: 283202.9","OnCash: 3.57"
"Round6","Time: 19:18:56","NumberOfPlayers: 11428","TotalBet: 204350.71","TotalWinning: 41664.17","OnCash: 1.72"
"Round7","Time: 19:19:17","NumberOfPlayers: 10393","TotalBet: 186105.30","TotalWinning: 611962.1","OnCash: 21.45"
"Round8","Time: 19:20:01","NumberOfPlayers: 11255","TotalBet: 183411.91","TotalWinning: 343512.57","OnCash: 4.54"
"Round9","Time: 19:20:29","NumberOfPlayers: 10291","TotalBet: 166178.47","TotalWinning: 55726.07","OnCash: 1.97"
"Round10","Time: 19:20:51","NumberOfPlayers: 9134","TotalBet: 149857.46","TotalWinning: 68327.32","OnCash: 2.04"
"Round11","Time: 19:21:13","NumberOfPlayers: 10289","TotalBet: 171260.59","TotalWinning: 7764.12","OnCash: 1.19"
"Round12","Time: 19:21:31","NumberOfPlayers: 9230","TotalBet: 158646.82","TotalWinning: 3953.61","OnCash: 1.14"
"Round13","Time: 19:21:49","NumberOfPlayers: 9125","TotalBet: 157873.79","TotalWinning: 141919.77","OnCash: 2.89"
"Round14","Time: 19:22:14","NumberOfPlayers: 11302","TotalBet: 205690.26","TotalWinning: 15990.56","OnCash: 1.33"
"Round15","Time: 19:22:33","NumberOfPlayers: 10160","TotalBet: 168269.46","TotalWinning: 217777.24","OnCash: 3.57"
"Round16","Time: 19:22:58","NumberOfPlayers: 10988","TotalBet: 182853.47","TotalWinning: 13542","OnCash: 1.35"
"Round17","Time: 19:23:18","NumberOfPlayers: 10354","TotalBet: 184712.52","TotalWinning: 248650.58","OnCash: 3.47"
"Round18","Time: 19:23:44","NumberOfPlayers: 10777","TotalBet: 170733.82","TotalWinning: 96267.59","OnCash: 2.23"
"Round19","Time: 19:24:06","NumberOfPlayers: 10467","TotalBet: 167808.40","TotalWinning: 341067.06","OnCash: 6.67"
"Round20","Time: 19:24:37","NumberOfPlayers: 11068","TotalBet: 163302.30","TotalWinning: 72773.37","OnCash: 2.26"
"Round21","Time: 19:25:00","NumberOfPlayers: 10438","TotalBet: 160900.02","TotalWinning: 248094.41","OnCash: 4.35"
"Round22","Time: 19:25:27","NumberOfPlayers: 10437","TotalBet: 146653.53","TotalWinning: 171968.93","OnCash: 3.1"
"Round23","Time: 19:25:52","NumberOfPlayers: 10472","TotalBet: 154648.89","TotalWinning: 92118.12","OnCash: 2.41"
"Round24","Time: 19:26:15","NumberOfPlayers: 10312","TotalBet: 159936.20","TotalWinning: 348029.95","OnCash: 7.2"
"Round25","Time: 19:26:47","NumberOfPlayers: 11208","TotalBet: 169780.63","TotalWinning: 145435.09","OnCash: 2.57"
"Round26","Time: 19:27:11","NumberOfPlayers: 10549","TotalBet: 149174.00","TotalWinning: 142488.33","OnCash: 2.84"
"Round27","Time: 19:27:35","NumberOfPlayers: 10878","TotalBet: 165829.15","TotalWinning: 29829.55","OnCash: 1.67"
"Round28","Time: 19:27:55","NumberOfPlayers: 9638","TotalBet: 149225.26","TotalWinning: 151377.88","OnCash: 2.76"
"Round29","Time: 19:28:19","NumberOfPlayers: 11385","TotalBet: 177724.50","TotalWinning: 266197.45","OnCash: 3.63"
"Round30","Time: 19:28:45","NumberOfPlayers: 11530","TotalBet: 180798.54","TotalWinning: 230313.81","OnCash: 3.32"
"Round31","Time: 19:29:11","NumberOfPlayers: 11428","TotalBet: 173469.35","TotalWinning: 591103.87","OnCash: 18.84"
